"email_base","market","asset_name","email_display_name","sfmc_reference_name","journey_name","path_name","email_slug","preview_file","preview_url","has_ampscript","source_system","preview_source","generation_method","status","match_method","sfmc_search_term","sfmc_name_pattern"
"EDM_MU_BKN_JB_AdminChecklist","WWAFR","","Admin checklist","EDM_MU_BKN_JB_AdminChecklist","Booking Journey","Booking path","edm-mu-bkn-jb-adminchecklist","WWAFR/edm-mu-bkn-jb-adminchecklist-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-adminchecklist-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_AdminChecklist","EDM_MU_BKN_CS_AdminChecklist_"
"EDM_MU_BKN_JB_AmbPromo","WWAFR","","Booking advocacy - Ambassador promo","EDM_MU_BKN_JB_AmbPromo","Booking Journey","Booking path","edm-mu-bkn-jb-ambpromo","WWAFR/edm-mu-bkn-jb-ambpromo-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-ambpromo-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_AmbPromo","EDM_MU_Expax_JB_AMBPromo"
"EDM_MU_BKN_JB_SoftContent_Accommodation_Campus","WWAFR","","Accommodation - campus","EDM_MU_BKN_JB_SoftContent_Accommodation_Campus","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-accommodation-campus","WWAFR/edm-mu-bkn-jb-softcontent-accommodation-campus-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-accommodation-campus-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Accommodation_Campus","EDM_MU_BKN_CS_SOFTCON_CAMPUS"
"EDM_MU_BKN_JB_SoftContent_Accommodation_HostFamily","WWAFR","","Accommodation - host family","EDM_MU_BKN_JB_SoftContent_Accommodation_HostFamily","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-accommodation-hostfamily","WWAFR/edm-mu-bkn-jb-softcontent-accommodation-hostfamily-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-accommodation-hostfamily-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Accommodation_HostFamily","EDM_MU_BKN_CS_SOFTCON_HF"
"EDM_MU_BKN_JB_SoftContent_Accommodation_Residence","WWAFR","","Accommodation - residence","EDM_MU_BKN_JB_SoftContent_Accommodation_Residence","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-accommodation-residence","WWAFR/edm-mu-bkn-jb-softcontent-accommodation-residence-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-accommodation-residence-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Accommodation_Residence","EDM_MU_BKN_CS_SOFTCON_1RES"
"EDM_MU_BKN_JB_SoftContent_Email16_EFHello","WWAFR","","Partnership - EF Hello app","EDM_MU_BKN_JB_SoftContent_Email16_EFHello","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-email16-efhello","WWAFR/edm-mu-bkn-jb-softcontent-email16-efhello-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-email16-efhello-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Email16_EFHello","EDM_MU_BKN_CS_EFHELLO_PROMOCODE"
"EDM_MU_BKN_JB_SoftContent_Email2_GetPrepared","WWAFR","","Soft content - Get Prepared","EDM_MU_BKN_JB_SoftContent_Email2_GetPrepared","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-email2-getprepared","WWAFR/edm-mu-bkn-jb-softcontent-email2-getprepared-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-email2-getprepared-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Email2_GetPrepared","EDM_BKN_SOFTCON_2GETPREPARED"
"EDM_MU_BKN_JB_SoftContent_Email3_MakeTheMostOut","WWAFR","","Soft content - Make the Most Out","EDM_MU_BKN_JB_SoftContent_Email3_MakeTheMostOut","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-email3-makethemostout","WWAFR/edm-mu-bkn-jb-softcontent-email3-makethemostout-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-email3-makethemostout-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Email3_MakeTheMostOut","EDM_BKN_SOFTCON_3MAKETHEMOSTOUT"
"EDM_MU_BKN_JB_SoftContent_Email4_Questions","WWAFR","","Soft content - FAQs","EDM_MU_BKN_JB_SoftContent_Email4_Questions","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-email4-questions","WWAFR/edm-mu-bkn-jb-softcontent-email4-questions-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-email4-questions-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Email4_Questions","EDM_BKN_SOFTCON_4.YOUHAVEQUESTIONS"
"EDM_MU_BKN_JB_SoftContent_Email5_ImmerseYourself","WWAFR","","Soft content - Immerse Yourself","EDM_MU_BKN_JB_SoftContent_Email5_ImmerseYourself","Booking Journey","Booking path","edm-mu-bkn-jb-softcontent-email5-immerseyourself","WWAFR/edm-mu-bkn-jb-softcontent-email5-immerseyourself-wwafr.html","https://cc-content-static.pages.dev/WWAFR/edm-mu-bkn-jb-softcontent-email5-immerseyourself-wwafr.html","true","SFMC","GitHub static preview","github_folder_scan","ready","sfmc_email_base_slug","EDM_MU_BKN_JB_SoftContent_Email5_ImmerseYourself","EDM_BKN_SOFTCON_5.IMMERSEYOURSELF"
